,movie,year,content_rating,genre,runtime_min,imdb_rating,metascore,votes
11140,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11141,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11142,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11143,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11144,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11145,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11146,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11147,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11148,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11149,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11150,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11151,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11152,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11153,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11154,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11155,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11156,Lucy and Desi,(2022),13+,"['Documentary', ' Biography', ' Comedy']",103,7.8,73,2516
11157,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11158,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11159,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11160,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11161,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11162,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11163,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11164,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11165,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11166,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11167,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
11168,Killers Anonymous,(2019),R,"['Action', ' Crime', ' Mystery']",95,4.4,22,11641
11169,Evangerion shin gekijôban: Ha,(2009),,"['Animation', ' Action', ' Drama']",112,7.9,45,22083
11170,Dhoom:3,(2013),6,"['Action', ' Crime', ' Drama']",172,5.3,61,46757
11171,Nana,(II) (2022),,"['Drama', ' History']",103,6.7,75,296
11172,Evangelion Shin Gekijôban: Kyu,(2012),,"['Animation', ' Action', ' Drama']",96,6.9,45,15912
11173,Generation Wealth,(2018),R,['Documentary'],105,6.6,53,5147
11174,Sublet,(2020),Unrated,"['Comedy', ' Drama', ' Romance']",89,7.0,67,2409
11175,Out in the Dark,(2012),12,"['Crime', ' Drama', ' Romance']",96,7.5,69,8627
11176,The Stranger,(1946),,"['Crime', ' Drama', ' Film-Noir']",95,7.3,76,26870
