,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
332,127 Hours,,R,"['Biography', ' Drama']",94,7.6,82,377900
333,Mank,,R,"['Biography', ' Comedy', ' Drama']",131,6.8,79,75689
334,Intrusion,,TV-14,"['Drama', ' Thriller']",92,5.2,39,17585
335,The Cloverfield Paradox,,PG-13,"['Action', ' Horror', ' Sci-Fi']",102,5.5,37,106043
336,The Croods,,PG,"['Animation', ' Adventure', ' Comedy']",98,7.2,55,215917
337,To All the Boys I've Loved Before,,TV-14,"['Comedy', ' Drama', ' Romance']",99,7,64,108596
338,Rebecca,,PG-13,"['Drama', ' Mystery', ' Romance']",123,6,46,42551
339,Till Death,,R,['Thriller'],88,5.8,66,22078
340,Out of the Furnace,,R,"['Action', ' Crime', ' Drama']",116,6.7,63,117025
341,No One Gets Out Alive,,R,"['Drama', ' Horror', ' Mystery']",87,5.3,43,16820
342,Taken 3,,PG-13,"['Action', ' Crime', ' Thriller']",108,6,26,193795
343,Okja,,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,122285
344,You're Next,,R,"['Horror', ' Thriller']",95,6.6,66,100757
345,The Weekend Away,,TV-14,"['Crime', ' Drama', ' Mystery']",89,5.6,51,24719
346,The Ridiculous 6,,TV-14,"['Action', ' Adventure', ' Comedy']",119,4.8,18,49942
347,The Hand of God,,R,['Drama'],130,7.3,76,42707
348,He's All That,,TV-14,"['Comedy', ' Romance']",88,4.4,36,25311
349,Begin Again,,R,"['Comedy', ' Drama', ' Music']",104,7.4,62,157505
350,Downsizing,,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,63,111688
351,Finding Dory,,PG,"['Animation', ' Adventure', ' Comedy']",97,7.3,77,276858
352,An Easy Girl,,TV-MA,"['Comedy', ' Drama']",92,5.6,79,5330
353,101 Dalmatians,,G,"['Adventure', ' Comedy', ' Crime']",103,5.7,49,112004
354,Fear Street: Part Two - 1978,,R,"['Drama', ' Horror', ' Mystery']",109,6.7,61,64734
355,Parallel Mothers,,R,"['Adventure', ' Drama']",123,7.1,88,29587
356,Eagle Eye,,PG-13,"['Action', ' Mystery', ' Thriller']",118,6.6,43,188104
