,movie,year,content_rating,genre,duration_min,imdb_rating,metascore,votes
600,All I See Is You,,R,['Drama'],109,5.4,43,12301
601,Clouds of Sils Maria,,R,['Drama'],124,6.7,79,29994
602,Million Dollar Arm,,PG,"['Biography', ' Drama', ' Sport']",124,7,56,46345
603,Another Year,,PG-13,"['Comedy', ' Drama']",129,7.4,80,29813
604,The Wild,,G,"['Animation', ' Adventure', ' Comedy']",82,5.2,47,26253
605,The Love Bug,,G,"['Comedy', ' Family', ' Sport']",108,6.5,48,16320
606,Stargirl,,PG,"['Comedy', ' Drama', ' Family']",107,6.2,61,5693
607,Nixon,,R,"['Biography', ' Drama', ' History']",192,7.1,66,31338
608,The Legend of Bagger Vance,,PG-13,"['Drama', ' Fantasy', ' Sport']",126,6.7,47,57536
609,Kiss of the Dragon,,R,"['Action', ' Crime', ' Thriller']",98,6.6,58,64256
610,First Daughter,,PG,"['Comedy', ' Drama', ' Romance']",106,5,31,23898
611,The Joy Luck Club,,R,['Drama'],139,7.7,84,17047
612,Picture Perfect,,PG-13,"['Comedy', ' Drama', ' Romance']",101,5.5,44,20465
613,Made in America,,PG-13,['Comedy'],111,5.1,49,17028
614,Guess Who,,PG-13,"['Comedy', ' Romance']",105,5.9,49,43329
615,The Binge,,TV-MA,['Comedy'],98,5.2,35,3769
616,Underdog,,PG,"['Action', ' Adventure', ' Comedy']",84,4.7,37,21852
617,Trapped in Paradise,,PG-13,"['Adventure', ' Comedy', ' Crime']",111,5.9,31,15289
618,Flora & Ulysses,,PG,"['Adventure', ' Comedy', ' Family']",95,6.2,62,6198
619,Secret Society of Second Born Royals,,TV-PG,"['Action', ' Adventure', ' Comedy']",99,4.9,34,5498
620,Garfield: A Tail of Two Kitties,,PG,"['Animation', ' Adventure', ' Comedy']",82,5,37,43710
621,Big Business,,PG,['Comedy'],97,6.4,53,14473
622,Strange Magic,,PG,"['Animation', ' Adventure', ' Comedy']",99,5.7,25,11367
623,Meet Dave,,PG,"['Adventure', ' Comedy', ' Family']",90,5.1,43,41541
624,High Strung,,PG,"['Drama', ' Music', ' Romance']",96,6.3,48,9511
625,Catch That Kid,,PG,"['Action', ' Adventure', ' Comedy']",91,5.2,33,10533
626,White Fang,,PG,"['Adventure', ' Drama']",107,6.7,62,21219
627,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",,PG-13,"['Documentary', ' Music']",118,8,96,11915
628,Fantasia 2000,,G,"['Animation', ' Family', ' Fantasy']",75,7.1,59,38988
629,Hollywood Stargirl,,PG,"['Comedy', ' Drama', ' Family']",105,5.7,66,1047
630,Enduring Love,,R,"['Drama', ' Mystery', ' Romance']",100,6.3,61,10642
631,That Darn Cat!,,Approved,"['Comedy', ' Crime', ' Family']",116,6.7,71,7164
632,Planes: Fire & Rescue,,PG,"['Animation', ' Adventure', ' Comedy']",83,5.9,48,18409
633,Mars Needs Moms,,PG,"['Animation', ' Action', ' Adventure']",88,5.4,49,22750
634,The Great Muppet Caper,,G,"['Adventure', ' Comedy', ' Crime']",97,7.1,70,15664
635,Darby O'Gill and the Little People,,G,"['Adventure', ' Family', ' Fantasy']",93,7.1,80,8385
636,Dr. Dolittle 2,,PG,"['Comedy', ' Family', ' Fantasy']",87,4.7,49,45593
637,The Apple Dumpling Gang,,G,"['Comedy', ' Family', ' Western']",100,6.4,59,5975
638,Green Card,,PG-13,"['Comedy', ' Drama', ' Romance']",107,6.3,58,24754
639,Peter Pan 2: Return to Never Land,,G,"['Animation', ' Adventure', ' Family']",72,5.8,49,20620
640,Rules Don't Apply,,PG-13,"['Comedy', ' Drama', ' Romance']",127,5.7,60,11087
641,Treasure Island,,PG,"['Adventure', ' Family']",96,6.9,89,8578
642,Sea Fever,,,"['Drama', ' Horror', ' Mystery']",95,5.7,60,11831
643,The Odd Life of Timothy Green,,PG,"['Comedy', ' Drama', ' Family']",105,6.6,47,47230
644,Life with Mikey,,PG,"['Comedy', ' Family']",91,5.6,50,6128
645,The Sense of an Ending,,PG-13,"['Drama', ' Mystery']",108,6.4,61,6887
646,Mistress America,,R,"['Comedy', ' Drama']",84,6.7,75,27369
647,The Sentinel,,PG-13,"['Action', ' Crime', ' Thriller']",108,6.1,49,49973
648,Muppets from Space,,G,"['Adventure', ' Comedy', ' Family']",87,6.2,53,19753
649,Unfinished Business,,R,"['Comedy', ' Drama']",91,5.4,32,33859
650,Blaze,,R,"['Biography', ' Drama', ' Music']",129,6.5,75,3332
651,"Big Mommas: Like Father, Like Son",,PG-13,"['Action', ' Comedy', ' Crime']",107,4.4,22,27846
652,Safety,,PG,"['Biography', ' Drama', ' Sport']",122,6.8,55,4152
653,Derek DelGaudio's In & Of Itself,,TV-MA,['Documentary'],90,8.2,82,4867
654,Welcome to Mooseport,,PG-13,"['Comedy', ' Romance']",110,5.3,33,12898
655,Someone Like You,,PG-13,"['Comedy', ' Romance']",97,6,32,26573
656,Better Nate Than Ever,,PG,"['Comedy', ' Drama', ' Family']",94,6.3,66,2693
657,The Disappearance of Alice Creed,,R,"['Crime', ' Thriller']",100,6.7,65,26810
658,Marmaduke,,PG,"['Comedy', ' Family']",87,4.3,30,15830
659,The Adventures of Ichabod and Mr. Toad,,Approved,"['Animation', ' Comedy', ' Family']",68,6.9,74,16166
660,Headshot,,Not Rated,"['Action', ' Drama', ' Thriller']",118,6.3,61,15057
661,People Like Us,,PG-13,"['Comedy', ' Drama']",114,7,49,43362
662,The Gods Must Be Crazy II,,PG,['Comedy'],98,6.8,51,17185
663,The Absent Minded Professor,,Approved,"['Comedy', ' Family', ' Sci-Fi']",92,6.7,75,8546
664,Veronica Guerin,,R,"['Biography', ' Crime', ' Drama']",98,6.8,55,20714
665,The Jungle Book 2,,G,"['Animation', ' Adventure', ' Comedy']",72,5.3,38,16682
666,The Love Punch,,PG-13,['Comedy'],94,5.7,44,14890
667,Three Fugitives,,PG-13,"['Action', ' Comedy']",96,6.2,40,12108
668,Julia,,PG,['Drama'],117,7.1,58,9861
669,Flicka,,PG,"['Adventure', ' Drama', ' Family']",95,6,57,8104
670,Cocoon: The Return,,PG,"['Adventure', ' Comedy', ' Mystery']",116,5.4,45,16642
671,Say It Isn't So,,R,"['Comedy', ' Romance']",95,5,21,13374
672,Return from Witch Mountain,,G,"['Adventure', ' Family', ' Fantasy']",95,5.7,51,5275
673,Dear Frankie,,PG-13,"['Drama', ' Romance']",105,7.7,63,21983
674,Recess: School's Out,,G,"['Animation', ' Adventure', ' Comedy']",82,6.5,43,10865
675,Millions,,PG,"['Comedy', ' Crime', ' Drama']",98,6.8,74,25667
676,Baggage Claim,,PG-13,"['Comedy', ' Romance']",96,5.1,34,9381
677,Turbo: A Power Rangers Movie,,PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9040
678,The Three Caballeros,,Approved,"['Animation', ' Comedy', ' Family']",71,6.3,85,14364
679,Duets,,R,"['Comedy', ' Drama', ' Music']",112,6.1,40,9701
680,The Tigger Movie,,G,"['Animation', ' Adventure', ' Comedy']",77,6.3,53,19218
681,The Shaggy Dog,,Approved,"['Comedy', ' Family', ' Fantasy']",104,6.4,45,5183
682,Prom,,PG,"['Comedy', ' Drama', ' Family']",104,5.4,50,15397
683,Rebound,,PG,"['Comedy', ' Family', ' Sport']",86,5.1,36,13174
684,A Good Woman,,PG,"['Drama', ' Comedy', ' Romance']",93,6.5,53,13514
685,Wendy,,PG-13,"['Drama', ' Fantasy']",111,5.7,55,3486
686,Aftershock,,TV-MA,['Documentary'],86,6.5,87,227
687,Tin Men,,R,"['Comedy', ' Drama']",112,6.6,75,9174
688,Phineas and Ferb the Movie: Candace Against the Universe,,TV-G,"['Animation', ' Adventure', ' Comedy']",86,7.1,77,4657
689,Black Is King,,TV-14,"['Adventure', ' Drama', ' Fantasy']",85,5.8,84,8958
690,Candleshoe,,G,"['Adventure', ' Comedy', ' Drama']",101,6.7,68,4531
691,Swallows and Amazons,,Not Rated,"['Adventure', ' Drama', ' Family']",96,6.1,65,3251
692,Walking with Dinosaurs 3D,,PG,"['Animation', ' Adventure', ' Comedy']",87,5.2,37,11448
693,The Incredible Journey,,G,"['Adventure', ' Drama', ' Family']",80,7,87,4792
694,The Ignorant Fairies,,R,"['Drama', ' Romance']",106,7.3,69,9456
695,Before the Flood,,PG,"['Documentary', ' News']",96,8.2,63,28023
